signal_rank,variant_id,family,base_config_json,stop_loss,take_profit,round_trip_cost_bps,raw_candidates,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,signal_sharpe_stability,signal_selection_score
5650,7b13e5768284,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.01, ""min_adv20"": 20000000.0, ""momentum_column"": ""mom5"", ""momentum_max"": -0.05}",0.06,0.08,20.0,146812,0.5907585406487745,-0.9999409241459352,-0.418417549874619,-2.5696500904759993,-0.9999446185052274,33878,4384,7.48354318533245,10,False,-0.062,3276.4364599559135,-0.6723563540044086,-0.3102675871466688,-1.8086685854334958,-0.7020077917939652,5818,734,7.68560105680317,10,False,-0.05568889375421178,3300.1025594644834,-0.6699897440535516,-0.30962756849591055,-1.7466740766822217,-0.6820622429688955,6230,738,8.26259946949602,10,False,-0.050766485729024514,6370.311373002228,-0.36296886269977724,-0.365262808486426,-2.216541854285125,-0.37718178258932955,2249,249,8.996,10,False,-0.0420884862205435,-0.7609815050425035,0.1828876201923077
5651,5eaa1b6e1364,volatility_reversal,"{""family"": ""volatility_reversal"", ""gap_max"": 0.0, ""min_adv20"": 20000000.0, ""prev_intraday_max"": -0.04, ""prev_range_min"": 0.03}",0.04,0.02,20.0,25002,49.472793023130805,-0.9950527206976869,-0.25586009842438073,-2.9602255766525976,-0.99488208163701,8660,2358,1.9129666445769826,10,False,-0.042,4891.884758752528,-0.5108115241247473,-0.2118138359974313,-2.1630648836153226,-0.555434681705302,1630,425,2.153236459709379,10,False,-0.042,5627.97065736639,-0.437202934263361,-0.17479241870363704,-2.050157463426855,-0.44089327244371834,1842,473,2.442970822281167,10,False,-0.042,8914.843080998735,-0.10851569190012655,-0.1093345357957366,-1.4759592667176278,-0.14100754942272575,539,160,2.156,10,False,-0.036000000000000004,-0.797160693037275,0.18277493990384613
5652,bf22b53beacd,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.02, ""min_adv20"": 20000000.0, ""mom3_min"": 0.0, ""prev_return_min"": 0.03}",0.06,0.04,20.0,8837,753.7860634654064,-0.9246213936534593,-0.134033905061396,-1.699985396261923,-0.9272232922351444,3252,1283,0.7183565275016567,10,False,-0.062,4164.176599680261,-0.583582340031974,-0.25295990075200403,-2.527927407775232,-0.5876614257878365,867,253,1.1453104359313078,10,False,-0.062,7941.4581001453635,-0.20585418998546368,-0.07414087595171448,-1.0752674101390896,-0.22567567976863456,621,259,0.8236074270557029,10,False,-0.03650226186924285,8333.787506791228,-0.16662124932087718,-0.16783554374335852,-2.4073345454883155,-0.17873336034217313,264,105,1.056,10,False,-0.03306516786273862,-0.8279420115133089,0.18275240384615388
5653,9979b234be42,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": 0.0, ""min_adv20"": 20000000.0, ""mom3_max"": null, ""prev_return_percentile_max"": 0.05}",0.04,0.04,20.0,58411,8.186411434918016,-0.9991813588565082,-0.3267687694601057,-2.4927540034218465,-0.999181482346904,29308,4253,6.474044621161918,10,False,-0.042,2985.134464836986,-0.7014865535163014,-0.33131873127804323,-2.1818917732248675,-0.7381793688568636,5240,702,6.922060766182298,10,False,-0.042,2786.8073794539023,-0.7213192620546098,-0.347553314798585,-2.3081144847374966,-0.7302943657751662,5768,724,7.649867374005305,10,False,-0.042,7711.2036676031785,-0.2288796332396822,-0.2304813475418911,-1.5179011778165188,-0.2256272677642922,1901,243,7.604,10,False,-0.033210622595632636,-0.310862230196979,0.18260216346153846
5654,e430a65c514c,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.01, ""min_adv20"": 20000000.0, ""mom3_min"": 0.0, ""prev_return_min"": 0.03}",0.06,0.08,20.0,20524,148.6552226428931,-0.9851344777357107,-0.20886140050746715,-1.923558551809144,-0.9861160860365407,7154,2290,1.5802960017671748,10,False,-0.062,3247.7224490388917,-0.6752277550961108,-0.31228572711588154,-2.3777623577461022,-0.6837309042757334,1814,420,2.396301188903567,10,False,-0.062,6424.068316934284,-0.3575931683065716,-0.13748473947979145,-1.2943062996592962,-0.37346962578576415,1557,432,2.0649867374005306,10,False,-0.0474758472333373,8152.279393074799,-0.18477206069252006,-0.1861032997564641,-1.77694885523111,-0.20077522031475314,615,167,2.46,10,False,-0.05786516786273863,-0.4542038059369582,0.18206881009615386
5655,5616fb701163,prior_day_crash_rebound,"{""family"": ""prior_day_crash_rebound"", ""max_abs_gap"": 0.01, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.03}",,0.02,20.0,82631,10.749309561333256,-0.9989250690438667,-0.31648378933390253,-2.6664633103085493,-0.9989194620796107,23357,4053,5.159487519328474,10,False,-0.07639062366017037,3765.076685839147,-0.6234923314160853,-0.2775994351500328,-2.010228700713884,-0.6523097651637447,4374,681,5.778071334214003,10,False,-0.08821077447653491,3646.4184070372175,-0.6353581592962783,-0.28621385448537406,-2.128811691530981,-0.6404635003462694,4771,696,6.327586206896552,10,False,-0.06934732807845176,7197.468568405102,-0.2802531431594898,-0.28214419747920183,-2.453306053716842,-0.2858943973795399,1751,239,7.004,10,False,-0.03363364973360268,-0.6562346095946654,0.18203125
5656,b5c833486191,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.02, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.03}",0.04,,20.0,11444,966.1264645878887,-0.9033873535412111,-0.1219870985898428,-1.2490966508782626,-0.9134765935381112,3920,1442,0.8659156174066711,10,False,-0.042,3784.0773365248647,-0.6215922663475135,-0.276387867214989,-2.5255602182134944,-0.6328584137206839,996,274,1.3157199471598415,10,False,-0.042,7489.756263470765,-0.2510243736529235,-0.09208560348679684,-1.1959342553291845,-0.2627893500803652,716,279,0.9496021220159151,10,False,-0.036561973448213686,8236.229382389076,-0.17637706176109236,-0.17765461243072667,-1.822890977724786,-0.1875058477317748,311,114,1.244,10,False,-0.042,-1.2764635673352318,0.18187349759615384
5657,5fb9182568c6,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.03, ""min_adv20"": 50000000.0, ""mom3_min"": 0.05, ""prev_return_min"": 0.03}",0.02,0.02,20.0,2621,3219.5126600806957,-0.6780487339919304,-0.061140416313848145,-2.399450370517593,-0.6780487339919304,973,435,0.21493262646344158,10,False,-0.022,6390.8367283933785,-0.36091632716066213,-0.1384677738339951,-3.3872153452636176,-0.36091632716066213,342,110,0.45178335535006603,10,False,-0.022,8848.004861388175,-0.11519951386118243,-0.04008056153128858,-1.9482166972257076,-0.11837621594484149,162,99,0.21485411140583555,10,False,-0.011399999999999999,9471.112760312675,-0.052888723968732454,-0.053300352773159254,-2.088730256987401,-0.05705434476889326,90,51,0.36,9,False,-0.0132,-0.9877649747460246,0.18186598557692307
5658,7c8c2633fb90,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.01, ""min_adv20"": 50000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.02,,20.0,9205,1752.4720367413472,-0.8247527963258653,-0.09239458369929732,-1.4995224264175848,-0.8263235860239686,3228,1205,0.7130550033134526,10,False,-0.022,5103.077841300356,-0.48969221586996436,-0.20064557650411585,-2.8336910999666167,-0.49602068255512977,962,280,1.2708058124174373,10,False,-0.022,8334.009607531301,-0.16659903924686992,-0.05909013887102599,-0.8721517820261391,-0.18440107245214765,720,277,0.9549071618037135,10,False,-0.01870998349819946,9530.47798589367,-0.04695220141063294,-0.04731878912050802,-0.7154180691652446,-0.0700500141322874,283,123,1.132,10,False,-0.022,-1.334168673549032,0.1818359375
5659,0e904867a709,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.02, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.0}",,0.04,20.0,36107,9.116266060205104,-0.9990883733939795,-0.3227248196947604,-2.568069471313861,-0.9990888712246907,12683,3450,2.8016346366246965,10,False,-0.14595231893975186,3082.9222699523257,-0.6917077730047674,-0.3241050226919525,-2.3134506563220785,-0.7072819063797211,2646,592,3.4953764861294583,10,False,-0.0910749708575062,3923.5987583660635,-0.6076401241633936,-0.2685203031397013,-2.227638726823938,-0.6128239263132058,2610,587,3.4615384615384617,10,False,-0.050082581124502534,4891.752989588942,-0.5108247010411058,-0.5136149302041609,-3.905031763242872,-0.5137521263409786,1005,215,4.02,10,False,-0.07351223138301234,-0.25461881499178274,0.18175330528846154
5660,d6854b096e88,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.01, ""min_adv20"": 50000000.0, ""mom3_min"": 0.05, ""prev_return_min"": 0.05}",0.06,0.04,20.0,5485,1905.1334747279593,-0.8094866525272041,-0.08816485997219947,-1.3553081117318595,-0.8191845272374005,2063,881,0.4557101833443782,10,False,-0.062,4220.710141512016,-0.5779289858487984,-0.2495988947628236,-2.6372275820688325,-0.5844763053558951,700,236,0.9247027741083224,10,False,-0.062,10193.616523721232,0.019361652372123173,0.006429738149177799,0.14572609631896652,-0.07936609721491561,488,233,0.6472148541114059,10,False,-0.019740882117824335,9404.21876341939,-0.05957812365806092,-0.06004014622480658,-1.281913319551131,-0.06633630919348743,192,97,0.768,10,False,-0.019130155978674113,-1.281919470336973,0.18144531249999998
